id,code,comment,label,GeneratedComment,BERTScore
10,"private void initConnection() throws AdeException {
  if (!dbPropertiesInitialized) {
    throw new AdeInternalException(""DB configuration is undefined."");
  }
  mLogger.debug(""Loading driver "" + dbDriver);
  try {
    Class.forName(dbDriver);
  }
 catch (  ClassNotFoundException e) {
    throw new AdeInternalException(""Loading driver failed."",e);
  }
  mLogger.debug(""Connecting to database "" + dbURL);
  try {
    if (dbUserName == null || dbUserPassword == null) {
      dbConnection=DriverManager.getConnection(dbURL);
    }
 else {
      dbConnection=DriverManager.getConnection(dbURL,dbUserName,dbUserPassword);
    }
  }
 catch (  SQLException e) {
    throw new AdeInternalException(""Failed obtaining connection."",e);
  }
catch (  Throwable t) {
    throw new AdeInternalException(""Failed obtaining connection."",t);
  }
}
",initializes a connection object .,what,This method initializes a connection to the database using the configuration settings provided in dbProperties.,0.874908984
11,"public static void startServices(ServiceHost host,Class... services) throws InstantiationException, IllegalAccessException {
  checkArgument(services != null,""services cannot be null"");
  for (  Class service : services) {
    startService(host,service);
  }
}
",starts the list of services on the host .,what,The method startServices starts up each service in a services array of Classes,0.8595784902572632
12,"	public String rawFormat() {
		return name + "" "" + getID();
	}
",function returns the raw string representation of this object,property,The return value of the rawFormat method represents the instance's name and ID in a single string.,0.8863229155540466
13,"private String showPrompt(String prompt) {
        verifySystemOut();
        cursorMove = 0;
        if (!userInputActive) {
            return readLine(prompt, false);
        }

        out.print(prompt);
        out.flush();
        return null;
    }",shows the prompt to request user input .,why,"The method 'showPrompt' checks that the user input is active by setting the variable ""userInputActive"" to false. It also uses the readLine method from the system class",0.8551734089851379
14,"					protected void handleFailure(ACLMessage failure) {
						if (failure.getSender().equals(myAgent.getAMS())) {
							// FAILURE notification from the JADE runtime: the receiver
							// does not exist
							print(""Responder does not exist"");
						}
						else {
							budget += reserved;
							print(""Agent ""+failure.getSender().getName()+"" failed. Rolled back budget."");
						}
						// Immediate failure --> we will not receive a response from this agent
						nResponders --;
					}
",handle failures e g in case the product is not available anymore,property,// The handleFailure method checks for a FAILURE notification from the JADE runtime and updates the budget accordingly.,0.8393694758415222
15,"public String generateCreate(String table) throws DatabaseException {
  StringBuffer result=new StringBuffer();
  try {
    StringBuffer sql=new StringBuffer();
    sql.append(""SELECT * FROM "");
    sql.append(table);
    ResultSet rs=executeQuery(sql.toString());
    ResultSetMetaData md=rs.getMetaData();
    result.append(""CREATE TABLE "");
    result.append(table);
    result.append("" ( "");
    for (int i=1; i <= md.getColumnCount(); i++) {
      if (i != 1) {
        result.append(',');
      }
      result.append(md.getColumnName(i));
      result.append(' ');
      String type=processType(md.getColumnTypeName(i),md.getPrecision(i));
      result.append(type);
    }
    result.append("" ) "");
    rs.close();
  }
 catch (  SQLException e) {
    throw (new DatabaseException(e));
  }
  return result.toString();
}
",generate the create statement to create the specified table .,why,This method generates SQL create table queries based on the supplied table name by selecting and processing all fields from that table.,0.8748525381088257
16,"private AbstractInvocation dequeue() {
    if (TraceComponent.isAnyTracingEnabled() && tc.isEntryEnabled()) SibTr.entry(this, tc, ""dequeue"");

    AbstractInvocation invocation;

    synchronized (barrier) {
      invocation = queue.remove(0);
    }

    if (TraceComponent.isAnyTracingEnabled() && tc.isEntryEnabled()) SibTr.exit(this, tc, ""dequeue"", invocation);
    return invocation;
  }",dequeue an invocation by removing it from the front of the queue,how-it-is-done,private AbstractInvocation dequeue() {,0.821873128
17,"public TrieNode(TrieNode predecessor,Map<Symbol,Integer> label2idMap,List<Symbol> labels){
  this.backPointer=predecessor;
}
",this constructs a trienode and specifies its predecessor .,how-it-is-done,"In this constructor, TrieNode initializes its backPointer to the predecessor, label2idMap to a map of labels and ids, and labels to a list of symbols.",0.8467060923576355
18,"public Class defineClass() {
        byte[] bytes;
        try {
            ByteArrayOutputStream bout = new ByteArrayOutputStream();
            writeTo(bout);
            bytes = bout.toByteArray();
        } catch (IOException e) {
            InternalError ie = new InternalError(e.toString());
            ie.initCause(e);
            throw ie;
        }

        if (DEBUG) {
            File file = new File(getClassName().replace('.', '/') + "".class"");
            try {
                File tempDir = new File(System.getProperty(""java.io.tmpdir""));
                file = new File(tempDir, file.getPath());
            } catch (SecurityException e) {
            }
            try {
                file.getParentFile().mkdirs();
                System.out.println(""RuntimeClassFile writing to "" + file);
                OutputStream out = new FileOutputStream(file);
                out.write(bytes);
                out.close();
            } catch (Exception e) {
                e.printStackTrace();
            }
        }

        return mLoader.define(getClassName(), bytes);
    }",finishes the class definition .,what,public Class defineClass() {,0.8321876525878906
19,"private static int writeSize(List<? extends OffsettedItem> items){
  OffsettedItem first=items.get(0);
  return (items.size() * first.writeSize()) + getAlignment(items);
}
",calculates the write size for the given list .,why,"The method calculates the overall write size of a collection of objects based on the size of each object and its alignment requirements, taking into account that some items may have varying write sizes due to their own offsets.",0.8815056085586548
20,"    public void picked(Class source, Object messageData, Vector3f origin, Vector3f direction, PickInfo results) {
        System.out.println(this + "" Name: "" + getName() + "" picked! by "" + source + "" : "" + messageData);
    }
",callback on being picked,how-to-use,"Here is a concise, one-line comment for the given code snippet that follows the ""how-to-use"" intent:",0.8298916816711426
21,"	public void applyRenderKit () {
		if (this.renderKit != null) {
			Gracelets.getGraceletsContext().setSpecifiedRenderKitId(this.renderKit.getName());
		}
	}
",if a render kit was defined make it the current render kit,how-it-is-done,The method applyRenderKit() sets the specified render kit id for the current Gracelets context by calling setSpecifiedRenderKitId() of GraceletsContext if a non-null renderKit is passed as an argument.,0.8507614135742188
22,"private static boolean isDataTypeSetPrecisely(Element bindNode){
  String type=bindNode.getAttributeValue(null,ATTRIBUTE_TYPE);
  if (type != null && !type.equalsIgnoreCase(DATA_TYPE_TEXT))   return true;
  return false;
}
",checks if the xforms data type is set to any value other than text .,what,"The method returns a boolean value indicating whether the element's attribute 'type' is set precisely and is not equal to ""DATA_TYPE_TEXT"".",0.8661932945251465
23,"	protected long getAskVolumeAtPrice(double price){
		long volume = 0;
		//Returns zero immediately if there is no order at this price or the book is empty
		for(Order order : askLimitOrders){
			if(order.getPrice() == price)
				volume += order.getOpenQuantity();
			if(order.getPrice() > price)
				break;
		}
		return volume;
	}
",get this instruments ask volume at specific price,what,"This method returns the total volume of open orders for the given price, including any open orders at that price and all subsequent prices up to the next order.",0.836348832
24,"public Matrix4x3d identity() {
        if ((properties & PROPERTY_IDENTITY) != 0)
            return this;
        m00 = 1.0;
        m01 = 0.0;
        m02 = 0.0;
        m10 = 0.0;
        m11 = 1.0;
        m12 = 0.0;
        m20 = 0.0;
        m21 = 0.0;
        m22 = 1.0;
        m30 = 0.0;
        m31 = 0.0;
        m32 = 0.0;
        properties = PROPERTY_IDENTITY | PROPERTY_TRANSLATION | PROPERTY_ORTHONORMAL;
        return this;
    }",reset this matrix to the identity .,what,"Returns this instance of Matrix4x3d set to the identity matrix, with zero translation and unity scale.",0.882276177
25,"public static double getScaleFactor(IAtomContainer container, double bondLength) {
        double currentAverageBondLength = getBondLengthMedian(container);
        if (currentAverageBondLength == 0 || Double.isNaN(currentAverageBondLength)) return 1;
        return bondLength / currentAverageBondLength;
    }",determines the scale factor for displaying a structure loaded from disk in a frame .,why,The function getScaleFactor uses the average bond length to scale the passed bondLength parameter to avoid a divide by zero error when there are no bonds in the molecule.,0.8494248390197754
26,"	public void substractResources(Resources resource, int quantity) throws NotEnoughResourcesException {
		Integer totalResources = resources.get(resource);
		if (totalResources == null || totalResources - quantity < 0) {
			throw new NotEnoughResourcesException(resource, this);
		} else {
			totalResources -= quantity;
		}
		resources.put(resource, totalResources);
	}
",method that takes resources from the city,what,"The method `substractResources` subtracts the specified quantity of a resource from an object's total resources, throwing a `NotEnoughResourcesException` if the attempt to subtract the resources would result in a negative value.",0.8354400396347046
27,"public TablePanel remove(Widget widget) {
		for (int i = 0; i < content.length; ++i)
			for (int j = 0; j < content[i].length; ++j)
				if (content[i][j] == widget) content[i][j] = null;
		this.sendElement();
		return this;
	}",removes all elements that are instance of specified element,what,Removes a widget from the content array by setting it to null and sends the element to the parent panel.,0.8472421765327454
28,"static public boolean isZero(float value,float tolerance){
  return Math.abs(value) <= tolerance;
}
",returns true if the value is zero .,property,"isZero(float value, float tolerance) is a property of the boolean value that indicates whether the floating point number ""value"" is equal to zero within the specified tolerance.",0.8379389047622681
29,"public boolean hasItems(){
  return items != null && !items.isEmpty();
}
",indicates whether this dashboard has at least one item .,what,"The public method returns true if items is not null and has at least one item in it, otherwise false.",0.8471959829330444
30,"  public int addToQueue(Entry entry, int position) throws IOException, UPNPResponseException {
    ActionMessage message = messageFactory.getMessage(""AddURIToQueue"");
    message.setInputParameter(""InstanceID"", 0);
    message.setInputParameter(""EnqueuedURI"", entry.getRes());
    message.setInputParameter(""EnqueuedURIMetaData"", compileMetadataString(entry));
    message.setInputParameter(""DesiredFirstTrackNumberEnqueued"", position+1);
    message.setInputParameter(""EnqueueAsNext"", true);
    ActionResponse resp = message.service();
    return Integer.parseInt(resp.getOutActionArgumentValue(""FirstTrackNumberEnqueued"")) -1;
  }
",adds the given entry to the end of the queue,how-it-is-done,"This method adds a media file at the specified position in the queue using the ""AddURIToQueue"" UPNP action and returns the first track number of the newly added entry.",0.8620163798332214
31,"private Tree<Row> findEndIf( Tree<Row> pointer ){
        while( !Type.END_IF.equals( pointer.getContent().getType() ) ){
            pointer = pointer.getNext();
        }
        return pointer;
    }","finds the associate end _ if for an if , else _ if or else pointer",how-it-is-done,"This method is used to find the last node in a linked list of rows that have a specific type, which in this case is END_IF.",0.8195937871932983
32,"public ASRPDirectory(String path){
  dir=new File(path);
  if (dir.exists()) {
    try {
      initialize(dir.getPath(),dir.getName(),""01"");
    }
 catch (    IOException ioe) {
      Debug.error(ioe.getMessage());
      ioe.printStackTrace();
      return;
    }
  }
 else {
    Debug.error(""ASRPDirectory ("" + path + "") doesn't exist"");
  }
}
",create a new asrp directory for the given path .,why,"The directory doesn't exist, so it cannot be initialized.",0.863356352
33,"public static Rectangle scaleRectangle(Rectangle rect,float scaleFactor){
  return new Rectangle(Math.round(rect.x * scaleFactor),Math.round(rect.y * scaleFactor),Math.round(rect.width * scaleFactor),Math.round(rect.height * scaleFactor));
}
",scales the given rectangle by the given scale factor .,how-it-is-done,This code scales a rectangle's dimensions by multiplying each value with the scale factor and rounding the result.,0.880967379
34,"	public void setValid(boolean bValid) {
		if(!bValid) {
			this.m_comboBox.setBorder(BorderFactory.createLineBorder(Color.RED));
			this.m_errorLabel.setIcon(IconManager.getInstance().getIcon(""16-message-error.gif""));
		} else {
			this.m_comboBox.setBorder(BorderFactory.createLineBorder(Color.BLACK));
			this.m_errorLabel.setIcon(IconManager.getInstance().getIcon(""16-message-confirm.gif""));
		}
		this.revalidate();
		this.repaint();
	}
",sets whether this components value is valid,what,The code snippet sets a JComboBox's border color and error icon based on a boolean variable indicating whether it is valid or not.,0.8449478149414062
35,"@SuppressWarnings(""unchecked"")
    public static <T> T getRandomSelection(List<T> options) {
        return (T) getRandomSelection(options.toArray(new Object[options.size()]));
    }",randomly chooses and returns one of the provided options .,how-it-is-done,"This method takes a list of items and returns a random selection from it, using a Java 8 Stream.",0.8642870783805847
36,"public List<QueryStatisticInner> listByQuery(String resourceGroupName, String serverName, String databaseName, String queryId) {
        return listByQueryWithServiceResponseAsync(resourceGroupName, serverName, databaseName, queryId).toBlocking().single().body();
    }",lists a query ' s statistics .,what,The listByQuery method retrieves the QueryStatisticInner object for a given queryId.,0.8450183272361755
37,"    public boolean isLeaf(Object node) {
        try {
            return ((TreeNode) node).isLeaf();
        }
        catch (ClassCastException ex) { // not a TreeNode?
            return getChildCount(node) == 0;
        }
    }
",returns true if the specified node is a leaf node false otherwise,property,public boolean isLeaf(Object node) { // check if TreeNode is a leaf,0.8439415097236633
38,"public synchronized void removeListener(final T listener){
  listeners.remove(listener);
}
",unsubscribes the listener for update notifications .,why,"The removeListener method in this code snippet is synchronized because it needs to ensure that any existing listeners are not removed while they are still being used, which would cause a concurrent modification exception.",0.8152323961257935
39,"protected FactoryDto updateProjectInFactory(final FactoryDto factory,final String repositoryUrl,final String headBranch,final String headCommitId) throws ServerException {
  return updateProjectInFactory(factory,repositoryUrl,headBranch,repositoryUrl,headCommitId);
}
",update project matching given predicate in given factory,how-it-is-done,"This method calls the updateProjectInFactory method with the same argument values it received, but replaces repositoryUrl with headBranch in the call.",0.8196214437484741
40,"public void renameThread(String base_name, Thread thread, String addr, String cluster_name) {
        String thread_name=getThreadName(base_name, thread, addr, cluster_name);
        if(thread_name != null)
            thread.setName(thread_name);
    }","names a thread according to base _ name , cluster name and local address .",how-it-is-done,"This method renames a thread by setting its name using a combination of four parameters: base_name, thread, addr, and cluster_name.",0.8624505400657654
41,"public boolean orderByColumnsDetermineAllDisplayColumnsForUnion(
            List<ParsedColInfo> orderColumns) {
        Set<AbstractExpression> orderExprs = new HashSet<>();
        for (ParsedColInfo col : orderColumns) {
            orderExprs.add(col.m_expression);
        }

        for (ParsedColInfo col : m_displayColumns) {
            if (! orderExprs.contains(col.m_expression)) {
                return false;
            }
        }

        return true;
    }",this is a very simple version of the above method for when an order by clause appears on a union .,why,"This code snippet determines if all display columns are also in the set of order columns, avoiding unnecessary sorting and improving performance.",0.8697015643119812
42,"protected void loadGrams(DataInputStream input) throws IOException {
    gramSet = new HashSet();
    try {
      while(true) {
        int gramLength=input.readInt();
      
        int[] words = new int[gramLength];
        for (int wi=0;wi<gramLength;wi++) {
          words[wi]=input.readInt();
        }
        gramSet.add(new NGram(words));
      }
    }
    catch(EOFException e) {
      
    }
  }",loads the contents of the specified input stream into this dictionary .,what,The method 'loadGrams' reads n-grams from a stream and adds them to a hash set.,0.8642281293869019
43,"private ContentElement parseContentElement(SpanManager sm,ContentElementParsingParameters cepp,Span lineSpan,ContentElement result){
  LinkedList<Span> lineSpans=new LinkedList<Span>();
  lineSpans.add(lineSpan);
  return parseContentElement(sm,cepp,lineSpans,result);
}
",building a contentelement from a single line .,what,"Here is a concise, one-line comment for the provided code snippet: ",0.8728715181350708
44,"protected void stopWithErrorMessage(String error,Exception ex){
  stop();
  if (m_log != null) {
    m_log.statusMessage(statusMessagePrefix() + error + "" - see log for details"");
    m_log.logMessage(statusMessagePrefix() + error + (ex != null ? "" "" + ex.getMessage() : """"));
  }
}
",stops the step ( and upstream ones ) and then prints an error message and optional exception message,how-it-is-done,"The method stopWithErrorMessage(String error, Exception ex) stops the process and logs an error message with additional information from the exception ex if it is present.",0.8555590510368347
45,"public static String fromDoc2String(Document doc) throws IOException {
  KXmlSerializer serializer=new KXmlSerializer();
  ByteArrayOutputStream bos=new ByteArrayOutputStream();
  serializer.setFeature(""http://xmlpull.org/v1/doc/features.html#indent-output"",true);
  serializer.setOutput(bos,XformConstants.DEFAULT_CHARACTER_ENCODING);
  doc.write(serializer);
  serializer.flush();
  return new String(bos.toByteArray(),XformConstants.DEFAULT_CHARACTER_ENCODING);
}
",converts an xml document to a string .,how-it-is-done,"The code snippet provided converts an XML document to a string by writing it to an XML serializer, which is then returned as a String. The KXmlSerializer class is used for this purpose, and its setFeature() method is called to enable the indentation of the output.",0.8811877369880676
46,"  public void run() {
    while(go) {
      Object[] elems = null;
      synchronized(this) {
	if(queue.isEmpty()) {
	  try{wait();} catch(InterruptedException e) {Util.printStackTrace(e);}
	}
	if(queue.size() == 1) {
	  singleton[0] = queue.removeFirst();
	  elems = singleton;
	}
	else {
	  elems = queue.toArray();
	  queue.clear();
	}
	if(queue.isEmpty() && flushing)
	  notify();
      }
      go = handle(elems);
      handles++;
    }
  }
",the read from queue loop,noisy,The required noisy code is in the while loop that handles the queue and uses wait() and notify().,0.8589382767677307
47,"private void updateComputeNodeUser(String poolId, String nodeId, String userName, NodeUpdateUserParameter nodeUpdateUserParameter, Iterable<BatchClientBehavior> additionalBehaviors) throws BatchErrorException, IOException {
        ComputeNodeUpdateUserOptions options = new ComputeNodeUpdateUserOptions();
        BehaviorManager bhMgr = new BehaviorManager(this.customBehaviors(), additionalBehaviors);
        bhMgr.applyRequestBehaviors(options);

        this.parentBatchClient.protocolLayer().computeNodes().updateUser(poolId, nodeId, userName, nodeUpdateUserParameter, options);
    }",updates the specified user account on the specified compute node .,what,This method updates the user account on a compute node in an Azure Batch pool by modifying its properties.,0.8840635418891907
48,"public static boolean isReadable(@NonNull final File file){
  if (!file.isFile()) {
    LogHelper.d(TAG,""isReadable(): Not a File"");
    return false;
  }
  return file.exists() && file.canRead();
}
",checks if file could be read or created,what,"""Checks if a file is readable.""",0.8773351907730103
49,"    public Form getIntervals() {
        if (Intervals == null) {//GEN-END:|61-getter|0|61-preInit
            // write pre-init user code here
            Intervals = new Form(""Interval training"", new Item[] { getMessageBox(), getAnswerSelect(), getEnabledIntervals(), getVolumeInputIntervals() });//GEN-BEGIN:|61-getter|1|61-postInit
            Intervals.addCommand(getBackCommand());
            Intervals.addCommand(getNewCommand());
            Intervals.addCommand(getRepeatCommand());
            Intervals.setCommandListener(this);//GEN-END:|61-getter|1|61-postInit
            // write post-init user code here
        }//GEN-BEGIN:|61-getter|2|
        return Intervals;
    }
",returns an initiliazed instance of intervals component,property,"This code snippet creates a new Form named ""Intervals"" and sets its commands, properties, and command listeners. It also includes some pre-init user code and post-init user code that are commented out for the purpose of initialization.",0.8217007517814636
50,"public static <T> List<T> query(Class<T> targetClass, final Uri uri, String[] projection, String selection, String[] selectionArgs, String sortOrder,
            CancellationSignal cancellationSignal) {
        final Cursor cursor = getContentResolver().query(uri, projection, selection, selectionArgs, sortOrder);

        try {
            return toList(targetClass, cursor);
        } finally {
            closeQuietly(cursor);
        }
    }",query by context . getcontentresolver ( ) .,how-it-is-done,"The method returns a list of T objects by calling getContentResolver().query(uri, projection, selection, selectionArgs, sortOrder) and then closing the cursor.",0.844793975
51,"private List<Match<T>> sort(final Map<String,Match<T>> possibleMatches){
  List<String> keys=new ArrayList<>(possibleMatches.keySet());
  Collections.sort(keys,matchComparator);
  List<Match<T>> matches1=new ArrayList<>(possibleMatches.size());
  for (  String key : keys) {
    matches1.add(possibleMatches.get(key));
  }
  return matches1;
}
","sort the matches according to their precedence ( that is , according to the precedence of their keys ) .",noisy,"// Sorts and returns a list of matches from possibleMatches, where each match is an object that contains information about a particular string in the Map. The method uses the provided Comparator to sort the keys of the map and then adds each match to a new ArrayList.",0.8261635303497314
52,"	public List getNamespaces() {
		List ns = new LinkedList();
		ns.add(name);
		if (attributes != EmptyStructures.EMPTY_MAP) {
			Iterator it = attributes.values().iterator();
			while (it.hasNext()) {
				ParameterAttribute pa = (ParameterAttribute) it.next();
				ns.add(pa.getName());
			}
		}
		return ns;
	}
",returns the namespaces used by this parameter value,property,"This code snippet defines a method called getNamespaces(), which returns a list of namespaces associated with this parameter attribute.",0.8736321926116943
53,"private static <E> Counter<Integer> collectCountCounts(Counter<E> counts) {
    Counter<Integer> cc = new ClassicCounter<Integer>(); // counts of counts
    for (Map.Entry<E, Double> entry : counts.entrySet()) {
      //E item = entry.getKey();
      Integer count = (int) Math.round(entry.getValue());
      cc.incrementCount(count);
    }
    return cc;
  }",helper to simplegoodturingsmoothedcounter ( ),noisy,The counts of counts for items in a collection are counted using a classic counter by iterating over the entry set and casting the values as integers.,0.8008294105529785
54,"protected void submit() {

        if (m_userinfoNoEditGroup.getRows().size() != m_addInfoReadOnly.size()) {
            List<String> currentKeys = getKeyListFromGroup(m_userinfoNoEditGroup);
            for (String key : m_addInfoReadOnly.keySet()) {
                if (!currentKeys.contains(key)) {
                    saveAddInfo(key, null);
                }
            }
        }

        for (I_CmsEditableGroupRow row : m_userinfoGroup.getRows()) {
            String key = ((TextField)(((HorizontalLayout)row.getComponent()).getComponent(0))).getValue();
            String value = ((TextField)(((HorizontalLayout)row.getComponent()).getComponent(1))).getValue();
            saveAddInfo(key, value);
            m_addInfoEditable.remove(key);
        }

        //Remaining items in list seem to be deleted by the user..
        for (String key : m_addInfoEditable.keySet()) {
            saveAddInfo(key, null);
        }
        try {
            m_cms.writeUser(m_user);
        } catch (CmsException e) {
            LOG.error(""Unable to write user."", e);
        }
    }",submit additional info to user .,what,This code is attempting to write user information to a CMS object in Vaadin framework.,0.8431838750839233
55,"	protected void addListeners() {
		addWindowListener(
			new WindowAdapter() {
				public void windowClosing(WindowEvent event) {
                    handleWindowClose();
				}
			}
		);
	}
",registers the listeners for this window,why,"This code snippet registers a WindowAdapter that listens for when the window is closing, and then invokes the handleWindowClose() method to perform any necessary cleanup tasks before the window closes.",0.8147175908088684
56,"public static File createTempFile(final String ext) {
		try {
			File file;
			file = File.createTempFile(""jk-"", ""."" + ext);
			return file;
		} catch (IOException e) {
			JK.throww(e);
			return null;
		}
	}",creates the temp file .,what,"Creates a temp file with an "".ext"" extension",0.8837012648582458
